epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3578.88,0.46257,0.24623,0.00613,0.74727,0.56539,0.66571,0.53643,1.27845,1.60734,0.02562,0.0008516,0.0008516,0.0008516
89,3620.02,0.4615,0.23688,0.00598,0.85688,0.51605,0.66095,0.54344,1.28015,1.75997,0.02575,0.0008384,0.0008384,0.0008384
90,3660.95,0.46506,0.24895,0.0061,0.81379,0.54424,0.67159,0.54861,1.2589,1.75884,0.02493,0.0008252,0.0008252,0.0008252
91,3701.97,0.45239,0.23294,0.00613,0.82461,0.5325,0.65954,0.54437,1.26966,1.80366,0.02533,0.000812,0.000812,0.000812
92,3743.02,0.43876,0.22921,0.00593,0.76836,0.55847,0.66075,0.544,1.25826,1.74096,0.02509,0.0007988,0.0007988,0.0007988
93,3784.26,0.44106,0.23407,0.0058,0.78351,0.564,0.68298,0.55763,1.23878,1.69311,0.02444,0.0007856,0.0007856,0.0007856
94,3825.14,0.43421,0.23258,0.0057,0.78378,0.55129,0.6638,0.54317,1.26048,1.80807,0.0251,0.0007724,0.0007724,0.0007724
95,3864.41,0.43621,0.22694,0.00583,0.81194,0.52742,0.65548,0.54573,1.26235,1.85366,0.02519,0.0007592,0.0007592,0.0007592
96,3903.85,0.43716,0.22912,0.00577,0.80203,0.54249,0.64124,0.52779,1.25212,1.87715,0.02501,0.000746,0.000746,0.000746
97,3943.32,0.44015,0.22824,0.00586,0.7757,0.54975,0.64951,0.53929,1.25336,1.88689,0.02503,0.0007328,0.0007328,0.0007328
98,3982.68,0.43082,0.21427,0.00559,0.82431,0.52702,0.6687,0.55926,1.24667,1.8802,0.02471,0.0007196,0.0007196,0.0007196
99,4022.09,0.4315,0.22586,0.00556,0.77054,0.53641,0.66064,0.55022,1.30085,1.91968,0.02653,0.0007064,0.0007064,0.0007064
100,4061.41,0.41839,0.21608,0.0054,0.76182,0.5278,0.6476,0.53992,1.29931,1.9982,0.02613,0.0006932,0.0006932,0.0006932
101,4100.85,0.41003,0.21386,0.00545,0.8673,0.51605,0.67188,0.55417,1.24283,1.87577,0.02465,0.00068,0.00068,0.00068
102,4140.19,0.40282,0.20824,0.00534,0.78423,0.55214,0.64437,0.53272,1.24695,1.86638,0.02448,0.0006668,0.0006668,0.0006668
103,4179.57,0.4,0.20321,0.00538,0.81914,0.54424,0.6724,0.56221,1.24192,1.86266,0.02461,0.0006536,0.0006536,0.0006536
104,4219,0.39483,0.20696,0.00513,0.79538,0.55704,0.68379,0.56677,1.2685,1.7928,0.02538,0.0006404,0.0006404,0.0006404
105,4258.49,0.40614,0.21369,0.00543,0.82933,0.54424,0.68288,0.56692,1.24619,1.86837,0.02408,0.0006272,0.0006272,0.0006272
106,4297.97,0.39623,0.20364,0.00525,0.78075,0.55991,0.67404,0.56448,1.25643,1.87518,0.02471,0.000614,0.000614,0.000614
107,4337.39,0.39549,0.20371,0.00515,0.78801,0.5385,0.64899,0.53784,1.24133,1.8585,0.02436,0.0006008,0.0006008,0.0006008
108,4376.8,0.40413,0.20914,0.00538,0.77691,0.55834,0.68929,0.57726,1.25139,1.80533,0.02477,0.0005876,0.0005876,0.0005876
109,4416.36,0.38923,0.20267,0.00506,0.79667,0.54659,0.68117,0.57321,1.26982,1.91712,0.02515,0.0005744,0.0005744,0.0005744
110,4455.69,0.38753,0.19534,0.00513,0.79546,0.53955,0.68683,0.58015,1.25527,1.94951,0.02499,0.0005612,0.0005612,0.0005612
111,4495.29,0.37469,0.19024,0.00482,0.82565,0.5278,0.68303,0.57808,1.2656,1.94828,0.02506,0.000548,0.000548,0.000548
112,4535.73,0.36976,0.196,0.00483,0.83216,0.53093,0.68254,0.57717,1.22977,1.95015,0.02413,0.0005348,0.0005348,0.0005348
113,4576.7,0.37959,0.19579,0.00491,0.82156,0.53171,0.67642,0.57213,1.23409,1.91117,0.0239,0.0005216,0.0005216,0.0005216
114,4617.67,0.37647,0.19392,0.00499,0.82258,0.53485,0.68755,0.58592,1.21893,1.93113,0.02384,0.0005084,0.0005084,0.0005084
115,4657.87,0.37049,0.19784,0.00487,0.82046,0.5419,0.68464,0.57451,1.22415,1.87394,0.02385,0.0004952,0.0004952,0.0004952
116,4697.22,0.36921,0.19597,0.0049,0.84046,0.51605,0.67206,0.56531,1.23608,1.89443,0.02443,0.000482,0.000482,0.000482
117,4736.47,0.36716,0.18589,0.00478,0.84691,0.52153,0.67232,0.56796,1.24137,1.98222,0.02468,0.0004688,0.0004688,0.0004688
118,4775.84,0.35404,0.18476,0.00475,0.83212,0.53406,0.68346,0.57675,1.23389,1.90099,0.02444,0.0004556,0.0004556,0.0004556
119,4815.07,0.37489,0.20051,0.0048,0.83009,0.52797,0.67497,0.57053,1.22365,1.91715,0.0241,0.0004424,0.0004424,0.0004424
120,4854.46,0.3627,0.19357,0.00475,0.7954,0.53876,0.67901,0.57255,1.21976,1.86154,0.02374,0.0004292,0.0004292,0.0004292
121,4893.86,0.3601,0.18795,0.00464,0.8276,0.53406,0.68383,0.58077,1.22841,1.9175,0.02371,0.000416,0.000416,0.000416
122,4933.09,0.34868,0.18064,0.00453,0.8166,0.53876,0.68274,0.57661,1.2399,1.87917,0.02446,0.0004028,0.0004028,0.0004028
123,4972.56,0.35198,0.18027,0.00449,0.81717,0.53563,0.68289,0.57946,1.24501,1.93317,0.02463,0.0003896,0.0003896,0.0003896
124,5011.78,0.35411,0.18478,0.00459,0.79392,0.54503,0.6767,0.56595,1.26125,1.88864,0.02506,0.0003764,0.0003764,0.0003764
125,5051.91,0.34361,0.17851,0.00451,0.79621,0.54424,0.67315,0.57128,1.24754,1.91787,0.0247,0.0003632,0.0003632,0.0003632
126,5092.87,0.34736,0.17205,0.00457,0.82445,0.53015,0.67546,0.57107,1.24468,1.94053,0.02441,0.00035,0.00035,0.00035
127,5133.77,0.34712,0.18229,0.00448,0.81789,0.54514,0.67075,0.56408,1.24785,1.89985,0.02475,0.0003368,0.0003368,0.0003368
128,5174.77,0.33545,0.17522,0.00428,0.83094,0.53116,0.68129,0.57386,1.23875,1.91908,0.02457,0.0003236,0.0003236,0.0003236
129,5216.03,0.34596,0.17803,0.00447,0.81019,0.54816,0.68527,0.57549,1.23913,1.89866,0.0244,0.0003104,0.0003104,0.0003104
130,5256.98,0.33879,0.17626,0.00441,0.80841,0.54659,0.67917,0.56989,1.23765,1.89004,0.02439,0.0002972,0.0002972,0.0002972
131,5297.95,0.33506,0.17836,0.00436,0.80759,0.54659,0.67997,0.57562,1.23986,1.94863,0.02432,0.000284,0.000284,0.000284
132,5338.9,0.32393,0.16827,0.00414,0.82303,0.54738,0.68304,0.5775,1.24895,1.95095,0.02462,0.0002708,0.0002708,0.0002708
133,5379.98,0.32597,0.16829,0.00407,0.80437,0.55129,0.68555,0.57948,1.21645,1.91128,0.02371,0.0002576,0.0002576,0.0002576
134,5426.21,0.32502,0.17064,0.00421,0.81099,0.55208,0.67585,0.57,1.2358,1.92476,0.0244,0.0002444,0.0002444,0.0002444
135,5467.27,0.33073,0.16792,0.0042,0.8045,0.54973,0.67818,0.57263,1.22465,1.91084,0.02406,0.0002312,0.0002312,0.0002312
136,5508.33,0.32905,0.17162,0.00422,0.82367,0.55234,0.68893,0.58245,1.21202,1.91458,0.02366,0.000218,0.000218,0.000218
137,5549.46,0.32567,0.1659,0.00407,0.80492,0.54973,0.68426,0.5809,1.21362,1.95216,0.02373,0.0002048,0.0002048,0.0002048
138,5590.43,0.31874,0.16665,0.00405,0.80738,0.55142,0.6863,0.58345,1.21722,1.96416,0.02383,0.0001916,0.0001916,0.0001916
139,5631.32,0.31684,0.16439,0.00409,0.81488,0.55152,0.68677,0.5829,1.23011,1.86026,0.0244,0.0001784,0.0001784,0.0001784
140,5672.27,0.31697,0.16384,0.00413,0.82069,0.55197,0.68644,0.58095,1.20909,1.9086,0.02369,0.0001652,0.0001652,0.0001652
141,5720,0.24612,0.10172,0.00444,0.79421,0.54894,0.66933,0.55623,1.24604,1.79664,0.02468,0.000152,0.000152,0.000152
142,5761,0.23341,0.095,0.00408,0.80791,0.53955,0.67783,0.57214,1.24131,1.84465,0.02442,0.0001388,0.0001388,0.0001388
143,5801.84,0.22347,0.08739,0.00379,0.80048,0.54581,0.6839,0.57853,1.23894,1.84367,0.02438,0.0001256,0.0001256,0.0001256
144,5842.71,0.22245,0.08883,0.00387,0.82151,0.54581,0.69026,0.57969,1.23307,1.84973,0.02418,0.0001124,0.0001124,0.0001124
145,5883.64,0.22096,0.091,0.00378,0.81515,0.54738,0.69147,0.58329,1.23101,1.87429,0.02408,9.92e-05,9.92e-05,9.92e-05
146,5924.49,0.21762,0.08754,0.0037,0.79686,0.5468,0.6857,0.58176,1.23587,1.90807,0.02418,8.6e-05,8.6e-05,8.6e-05
147,5965.38,0.21636,0.09088,0.00361,0.79518,0.54725,0.68564,0.57984,1.24191,1.91705,0.0243,7.28e-05,7.28e-05,7.28e-05
148,6005.12,0.20766,0.08618,0.00352,0.80611,0.53955,0.68822,0.58346,1.23816,1.94062,0.02423,5.96e-05,5.96e-05,5.96e-05
149,6044.51,0.20992,0.08235,0.00356,0.80413,0.54033,0.6873,0.58316,1.23481,1.93424,0.02413,4.64e-05,4.64e-05,4.64e-05
150,6083.8,0.20941,0.08421,0.00353,0.7946,0.54529,0.68912,0.58608,1.23663,1.9122,0.0242,3.32e-05,3.32e-05,3.32e-05
