epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,904.971,0.72679,0.58025,1.08232,0.91036,0.932,0.96549,0.78969,0.6928,0.48735,1.06499,0.0011684,0.0011684,0.0011684
65,918.928,0.73412,0.58947,1.08798,0.94902,0.92089,0.95971,0.80078,0.66931,0.474,1.02876,0.0011552,0.0011552,0.0011552
66,932.911,0.74307,0.59534,1.09074,0.94194,0.92411,0.96709,0.79242,0.69732,0.49336,1.04826,0.001142,0.001142,0.001142
67,946.89,0.72346,0.57335,1.07458,0.94689,0.90281,0.96784,0.81973,0.67694,0.48596,1.04407,0.0011288,0.0011288,0.0011288
68,961.163,0.71537,0.5618,1.07632,0.93604,0.93987,0.96655,0.80801,0.67748,0.48545,1.05155,0.0011156,0.0011156,0.0011156
69,974.99,0.71514,0.56236,1.07907,0.96368,0.92405,0.97867,0.82232,0.69152,0.45288,1.0451,0.0011024,0.0011024,0.0011024
70,988.849,0.71911,0.57844,1.08029,0.97673,0.93671,0.96945,0.8254,0.67032,0.4913,1.03683,0.0010892,0.0010892,0.0010892
71,1002.59,0.69971,0.54978,1.06816,0.95593,0.92089,0.95571,0.80698,0.71879,0.50711,1.08444,0.001076,0.001076,0.001076
72,1016.35,0.6874,0.53646,1.0536,0.96484,0.93354,0.97214,0.83048,0.63461,0.44806,1.00603,0.0010628,0.0010628,0.0010628
73,1031.06,0.70688,0.55587,1.07077,0.95083,0.9179,0.97102,0.82698,0.60756,0.43506,0.99625,0.0010496,0.0010496,0.0010496
74,1045.06,0.68036,0.53405,1.05204,0.95345,0.92722,0.97553,0.82831,0.64435,0.43925,1.01621,0.0010364,0.0010364,0.0010364
75,1058.99,0.67883,0.52956,1.0532,0.96302,0.90656,0.95626,0.81145,0.67617,0.47599,1.03804,0.0010232,0.0010232,0.0010232
76,1072.96,0.68225,0.53572,1.05788,0.9468,0.93671,0.97211,0.83037,0.65819,0.452,1.01802,0.00101,0.00101,0.00101
77,1086.97,0.67144,0.53208,1.05348,0.94297,0.9462,0.97393,0.84346,0.65076,0.41243,1.02609,0.0009968,0.0009968,0.0009968
78,1100.94,0.66632,0.53214,1.04989,0.95336,0.94304,0.97819,0.84346,0.62506,0.44654,0.99724,0.0009836,0.0009836,0.0009836
79,1114.96,0.67148,0.53185,1.04658,0.93345,0.93987,0.97411,0.83324,0.61005,0.46177,0.99821,0.0009704,0.0009704,0.0009704
80,1129,0.65944,0.51681,1.05155,0.97906,0.93987,0.9726,0.83538,0.6637,0.45139,1.05227,0.0009572,0.0009572,0.0009572
81,1142.91,0.67089,0.52949,1.05534,0.93728,0.94304,0.97223,0.83531,0.63259,0.42273,1.01513,0.000944,0.000944,0.000944
82,1156.85,0.67251,0.5339,1.05663,0.96451,0.94597,0.97529,0.83813,0.64554,0.42152,1.0259,0.0009308,0.0009308,0.0009308
83,1170.96,0.64891,0.51813,1.03984,0.96423,0.93847,0.97581,0.85104,0.61777,0.43588,0.99324,0.0009176,0.0009176,0.0009176
84,1185.33,0.65565,0.51686,1.04653,0.96177,0.92722,0.97687,0.846,0.61451,0.42731,0.99241,0.0009044,0.0009044,0.0009044
85,1199.15,0.65021,0.50659,1.04319,0.9522,0.91772,0.9693,0.83984,0.62724,0.44002,1.01298,0.0008912,0.0008912,0.0008912
86,1213.04,0.65418,0.50178,1.04303,0.95424,0.92382,0.9738,0.83519,0.60351,0.41813,0.9981,0.000878,0.000878,0.000878
87,1226.85,0.64713,0.50174,1.04232,0.96128,0.94304,0.97598,0.84523,0.61246,0.43379,0.98847,0.0008648,0.0008648,0.0008648
88,1240.6,0.6436,0.49629,1.03632,0.97663,0.92583,0.97922,0.8462,0.5812,0.43066,0.97873,0.0008516,0.0008516,0.0008516
89,1254.4,0.6315,0.48907,1.0329,0.97412,0.93671,0.98073,0.85305,0.6051,0.41208,0.98395,0.0008384,0.0008384,0.0008384
90,1268.23,0.62976,0.48457,1.0323,0.9684,0.92722,0.97899,0.84347,0.58294,0.41443,0.95607,0.0008252,0.0008252,0.0008252
91,1281.97,0.63339,0.49351,1.03125,0.98634,0.91434,0.98217,0.84012,0.60511,0.41744,0.97716,0.000812,0.000812,0.000812
92,1295.69,0.62936,0.49501,1.03932,0.97574,0.90823,0.96846,0.83912,0.6272,0.41547,1.01132,0.0007988,0.0007988,0.0007988
93,1309.55,0.61065,0.47566,1.0203,0.9431,0.94406,0.97646,0.84608,0.58244,0.44749,0.97602,0.0007856,0.0007856,0.0007856
94,1323.36,0.608,0.46991,1.02058,0.95789,0.93354,0.97249,0.85191,0.59485,0.43512,1.00495,0.0007724,0.0007724,0.0007724
95,1337.13,0.60626,0.4769,1.01729,0.96108,0.93765,0.98176,0.8609,0.56549,0.4134,0.96793,0.0007592,0.0007592,0.0007592
96,1350.93,0.61104,0.47588,1.01633,0.96375,0.93671,0.97815,0.84543,0.57975,0.40661,0.97057,0.000746,0.000746,0.000746
97,1364.72,0.58494,0.45657,1.00938,0.95782,0.93671,0.97546,0.85828,0.56965,0.41473,0.97502,0.0007328,0.0007328,0.0007328
98,1378.46,0.61309,0.47406,1.03009,0.95782,0.9343,0.98158,0.85462,0.5938,0.39898,0.99563,0.0007196,0.0007196,0.0007196
99,1392.33,0.59666,0.45923,1.01195,0.96171,0.93038,0.97397,0.86683,0.57369,0.39481,0.98506,0.0007064,0.0007064,0.0007064
100,1406.16,0.58972,0.46332,1.01628,0.95501,0.94035,0.97323,0.85618,0.54264,0.41098,0.94211,0.0006932,0.0006932,0.0006932
101,1419.89,0.58849,0.44957,1.01092,0.98,0.93029,0.97573,0.86955,0.57557,0.40664,0.9774,0.00068,0.00068,0.00068
102,1434.28,0.5988,0.46414,1.01777,0.97044,0.93508,0.97762,0.86373,0.6035,0.39503,0.99103,0.0006668,0.0006668,0.0006668
103,1448.86,0.58535,0.4544,1.0063,0.97987,0.92435,0.97477,0.86656,0.5781,0.39514,0.99081,0.0006536,0.0006536,0.0006536
104,1463.44,0.58954,0.45633,1.00632,0.97329,0.92258,0.97956,0.86214,0.56167,0.36786,0.97821,0.0006404,0.0006404,0.0006404
105,1478.05,0.57935,0.45114,1.00469,0.96415,0.93627,0.97636,0.86913,0.56812,0.38429,0.98435,0.0006272,0.0006272,0.0006272
106,1492.6,0.58053,0.44602,1.00602,0.95775,0.93263,0.97486,0.86507,0.59316,0.37576,0.99447,0.000614,0.000614,0.000614
107,1507.16,0.56721,0.44313,1.0051,0.9561,0.93038,0.97397,0.86109,0.52613,0.39971,0.94528,0.0006008,0.0006008,0.0006008
108,1521.79,0.56361,0.4293,0.99605,0.97351,0.93052,0.97924,0.86929,0.57755,0.37239,0.98893,0.0005876,0.0005876,0.0005876
109,1536.29,0.57369,0.44007,1.00795,0.97636,0.93987,0.97359,0.86809,0.59851,0.37139,1.01382,0.0005744,0.0005744,0.0005744
110,1550.94,0.5667,0.44244,1.00447,0.9568,0.9557,0.97922,0.87208,0.56298,0.39787,0.95992,0.0005612,0.0005612,0.0005612
111,1565.59,0.54278,0.41693,0.98739,0.97079,0.94647,0.97705,0.87145,0.56203,0.37491,0.97527,0.000548,0.000548,0.000548
112,1580.2,0.56627,0.43107,0.99682,0.93607,0.96203,0.97362,0.86946,0.55387,0.37804,0.95356,0.0005348,0.0005348,0.0005348
113,1594.79,0.55525,0.42118,0.99142,0.9599,0.95253,0.97973,0.87026,0.58825,0.38807,1.01072,0.0005216,0.0005216,0.0005216
